satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,Department
0.45,0.69,5,193,3,0,sales
0.78,0.82,5,247,3,0,sales
0.49,0.6,3,214,2,0,sales
0.36,0.95,3,206,4,0,sales
0.54,0.37,2,176,2,0,sales
0.99,0.91,5,136,4,0,sales
0.5,0.75,6,127,3,0,sales
0.74,0.64,4,268,3,0,sales
0.56,0.58,4,258,3,0,sales
0.34,0.39,2,136,3,0,sales
0.48,0.94,5,255,6,0,accounting
0.73,0.62,3,218,3,0,accounting
0.59,0.87,3,268,4,0,accounting
0.81,0.57,3,224,2,0,hr
0.9,0.66,3,231,3,0,hr
0.41,0.84,6,191,6,0,hr
0.89,0.92,4,165,5,0,hr
0.48,0.84,4,252,3,0,technical
0.79,0.97,5,266,2,0,technical
0.98,0.66,5,248,3,0,technical
0.75,0.7,4,144,4,0,technical
1.0,0.41,4,174,3,0,technical
0.24,0.82,5,179,6,0,technical
0.84,0.43,6,246,4,0,technical
0.56,0.86,4,201,3,1,technical
0.92,0.93,4,208,3,0,technical
0.61,0.98,3,267,3,0,technical
0.84,0.77,4,262,4,0,technical
0.85,0.59,3,235,3,0,support
0.67,0.57,2,160,4,0,support
0.54,0.94,4,267,4,0,support
0.75,0.56,5,175,4,0,support
0.82,0.79,4,224,2,0,support
0.76,0.6,4,177,2,0,support
0.19,0.53,6,191,4,0,support
0.61,0.41,3,138,3,0,support
0.51,0.8,3,218,2,1,support
0.52,0.88,3,179,2,1,support
0.74,0.58,3,241,3,0,support
0.98,0.91,4,240,3,0,technical
0.71,0.92,3,202,4,0,technical
0.33,0.88,6,260,3,0,technical
0.98,0.97,3,196,3,0,management
0.52,0.59,2,176,3,1,IT
0.84,0.65,2,140,3,0,IT
0.87,0.5,3,242,2,0,IT
0.48,0.85,3,279,4,0,IT
0.58,0.55,4,202,3,0,IT
0.58,0.84,5,228,3,0,product_mng
0.73,0.69,4,171,3,0,product_mng
0.68,0.54,4,153,3,0,product_mng
0.41,0.68,3,165,3,1,product_mng
0.85,0.6,3,182,3,0,IT
0.54,0.7,5,239,5,0,RandD
0.81,0.61,5,231,2,0,RandD
0.7,0.52,4,255,3,0,RandD
0.63,0.66,4,237,2,1,RandD
0.68,0.54,3,251,2,0,RandD
0.7,0.53,4,178,2,0,marketing
0.82,0.65,4,148,3,0,sales
0.72,0.94,4,240,4,0,accounting
0.77,0.78,3,269,3,0,support
0.86,0.91,4,147,3,0,technical
0.15,0.97,3,198,5,0,management
0.81,0.99,5,143,3,0,marketing
0.93,0.98,3,238,2,0,marketing
0.62,0.74,4,213,4,0,marketing
0.53,0.81,3,226,3,1,sales
0.86,0.99,3,169,2,1,sales
0.92,0.65,4,238,2,0,sales
0.97,0.83,4,202,3,0,sales
0.39,0.78,2,205,6,1,sales
0.45,0.66,3,111,4,0,sales
0.41,0.47,4,104,3,0,sales
0.51,0.69,3,212,3,0,sales
0.74,0.62,4,236,4,0,sales
0.69,0.57,5,245,2,1,sales
0.84,0.64,4,267,4,0,sales
0.69,0.66,5,106,5,0,sales
0.93,0.53,5,198,3,0,sales
0.33,0.45,6,239,3,0,sales
0.25,0.65,5,220,3,0,sales
0.63,0.59,5,224,3,0,sales
0.81,0.62,3,100,3,0,sales
0.12,0.87,4,244,5,0,sales
0.52,0.66,4,139,3,0,sales
0.57,0.51,2,152,2,0,accounting
0.84,0.58,4,208,3,0,accounting
0.6,0.95,5,205,3,0,accounting
0.73,0.44,2,194,6,0,hr
0.2,0.58,3,209,5,0,hr
0.58,0.9,3,212,3,0,hr
0.48,0.56,2,151,3,0,hr
0.54,0.67,4,282,6,0,technical
0.86,1.0,4,256,3,0,technical
0.94,0.83,2,185,3,1,technical
0.76,0.74,5,132,3,0,technical
0.61,0.95,5,233,3,0,technical
0.56,0.94,4,215,2,0,technical
1.0,0.74,3,220,4,0,technical
0.15,0.53,6,222,3,0,technical
0.19,0.58,5,182,2,0,technical
0.17,0.73,5,258,4,0,technical
0.71,0.57,3,209,2,0,technical
0.86,0.79,3,242,2,0,support
0.59,0.88,4,155,3,1,support
0.74,0.76,5,104,4,0,support
0.98,0.92,4,201,3,1,support
0.93,0.75,5,143,3,0,support
1.0,0.92,5,161,3,1,support
0.59,0.81,4,200,2,0,support
0.98,0.55,4,255,2,0,support
0.35,0.5,5,227,2,0,support
0.42,0.96,3,270,6,0,support
0.61,0.85,5,230,3,0,support
0.78,0.72,5,270,3,1,technical
0.93,0.52,4,200,3,0,technical
0.5,0.95,5,207,3,0,technical
0.67,0.51,5,182,3,0,management
0.75,0.85,4,234,3,0,IT
0.79,0.51,4,237,2,0,IT
0.84,0.89,4,187,2,1,IT
0.72,0.5,3,257,6,0,IT
0.57,0.48,2,194,2,0,IT
0.73,0.52,4,162,3,0,product_mng
0.74,0.58,4,148,2,0,product_mng
0.52,0.83,4,210,2,0,product_mng
0.56,0.76,3,213,2,1,product_mng
0.76,0.68,4,189,2,1,IT
0.82,0.93,4,185,2,0,RandD
0.76,0.83,3,186,2,1,RandD
0.62,0.59,3,128,3,0,RandD
0.48,0.8,4,268,3,0,RandD
0.64,0.77,3,213,3,1,RandD
0.74,0.82,4,142,2,0,marketing
0.52,0.43,2,199,2,0,sales
0.67,0.5,4,157,2,0,accounting
0.71,0.76,5,172,2,1,support
0.72,0.63,3,176,3,1,technical
0.33,0.58,2,183,2,0,management
0.91,0.56,4,270,2,0,marketing
0.88,0.68,5,157,4,1,marketing
0.96,0.6,4,185,3,0,marketing
0.97,0.68,3,167,3,0,sales
0.27,0.59,5,226,5,0,sales
0.65,0.64,3,223,4,0,sales
0.68,0.73,3,257,3,0,sales
0.68,0.46,4,143,3,0,sales
0.69,0.74,3,215,2,0,sales
0.79,0.99,3,194,4,0,sales
0.74,0.92,5,193,3,0,sales
0.8,0.83,3,163,3,0,sales
0.38,0.94,5,252,5,0,sales
0.26,0.83,3,168,3,0,sales
0.81,0.86,3,231,3,0,sales
0.67,0.54,2,141,2,0,sales
0.55,0.81,4,260,2,0,sales
0.87,0.71,3,132,2,0,sales
0.46,0.69,2,159,2,0,sales
0.63,0.57,4,177,3,1,sales
0.54,0.96,4,248,3,0,sales
1.0,0.49,3,185,2,0,sales
0.97,0.66,4,149,2,0,accounting
0.9,0.92,3,152,3,0,accounting
0.75,0.7,3,129,3,0,accounting
0.92,0.84,4,208,2,0,hr
0.8,0.94,4,136,2,0,hr
0.57,0.81,3,142,2,0,hr
0.81,0.94,3,225,4,0,hr
0.64,0.6,3,143,3,0,technical
0.71,0.54,4,215,3,0,technical
0.35,0.58,3,229,6,1,technical
0.88,0.81,5,193,5,0,technical
0.13,0.59,5,160,5,0,technical
0.82,0.73,4,195,5,1,technical
0.17,0.92,4,189,2,0,technical
0.21,0.82,4,207,5,0,technical
0.89,0.47,4,108,3,0,technical
0.2,0.72,6,224,4,0,technical
0.99,0.81,5,180,3,1,technical
0.26,0.85,6,152,4,0,support
0.22,0.53,4,244,2,0,support
0.79,0.84,3,176,3,0,support
0.73,0.79,4,145,2,1,support
0.83,0.54,3,149,3,0,support
0.42,0.54,3,122,4,0,support
0.18,0.8,2,110,5,0,support
0.92,0.91,4,222,2,0,support
0.87,0.52,3,237,3,0,support
0.72,0.65,4,224,3,0,support
0.64,0.58,5,115,5,0,support
1.0,0.66,4,180,3,0,technical
0.83,0.65,4,162,3,0,technical
0.98,0.58,4,136,3,0,technical
0.7,0.87,3,260,2,0,management
0.9,0.79,4,150,2,0,IT
0.55,0.99,4,248,3,0,IT
0.78,0.84,3,233,3,1,IT
0.89,0.53,5,272,3,0,IT
0.17,0.59,3,197,5,0,IT
